#{"t_start": 1693147490.012485, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-20,128,2.338198
-40,277,3.505431
-154,165,4.273568
-77.0,105,4.737199
-1272.0,812,8.730189
-17,48,8.937899
-185,264,10.072127
-1044.0,925,14.242547
-52,71,14.556447
-44,69,14.860696
-36,48,15.075457
-23,204,15.962343
-19,147,16.59279
-806.0,798,20.162745
-20,31,20.300466
-89.0,154,20.980165
-35,178,21.744591
-208.0,105,22.216845
-39,171,22.94805
-26,168,23.66287
-33,77,23.995858
-36,175,24.755417
-73,93,25.163593
-64,127,25.714738
-50,105,26.166316
-59.0,155,26.82963
-164,178,27.616888
-1263.0,476,29.761251
-1355.0,168,30.528884
-139,155,31.231998
-24,33,31.378852
-32,144,32.002689
-28,75,32.326615
-35,92,32.727243
-19,113,33.220277
-52,113,33.711446
-1347.0,195,34.588948
-169,207,35.512471
-71,136,36.105584
-39,181,36.880966
-176.0,193,37.71326
-554,888,41.583975
-16,89,41.973539
-26,224,42.929901
-719,791,68.885873
-20,106,69.315819
-86,105,69.75137
-32,73,70.053038
-25,76,70.362796
-122,194,71.190353
-27,29,71.314304
-45,113,71.788396
-24,50,71.999151
-20,146,72.608256
-53,86,72.983634
-42,53,73.2166
-184.0,206,74.117549
-20,43,74.302367
-37,108,74.760352
-49,387,76.393093
-476.0,361,77.982531
-21,27,78.100667
-35,41,78.280895
-467.0,115,78.791468
-35,99,79.217767
-254.0,352,80.765424
-228,367,82.371852
-113.0,92,82.774661
-30,87,83.146652
-22,216,84.061375
-41,58,84.31352
-339,340,85.827202
-49,68,86.135456
-35,53,86.369443
-22,83,86.73009
-96,140,87.351446
-80,146,87.991203
-20,24,88.096293
-24,49,88.308705
-49,196,89.143742
-18,24,89.248389
-25,55,89.484896
-20,145,90.088607
-21,30,90.213835
-267.0,59,90.474593
-18,27,90.588428
-80,110,91.052059
-21,63,91.312288
-23,80,91.639837
-34,98,92.046685
-31,57,92.289233
-17,61,92.544568
-67,114,93.03114
-38,374,94.601927
-588.0,632,97.396957
-24,129,97.948076
-45,180,98.714817
-46,82,99.082795
-31,107,99.540565
-193,216,100.494031
-121,125,101.059023
-60,422,102.859841
-59,118,103.382091
-75,147,104.017992
-26,39,104.187536
-25,219,105.114264
-20,68,105.403502
-421.0,532,107.75881
-32,166,108.475124
-73.0,66,108.764435
-85,98,109.199375
-716.0,127,109.767231
-93,204,110.649502
-19,75,110.969497
-77.0,71,111.276962
-50,55,111.521139
-31,32,111.661563
-146.0,117,133.793883
-21,271,134.872169
-25,43,135.046978
-20,105,135.465833
-311.0,424,137.276892
-117,149,137.928432
-303.0,237,138.973378
-48,173,139.705549
-110,189,140.523992
-25,139,141.112311
-141,187,141.928733
-19,73,142.249716
-101,115,142.761085
-49,56,143.013024
-84,112,143.503769
-63.0,83,143.869542
-29,76,144.197967
-130,352,145.710324
-36,45,145.908079
-59.0,57,146.161616
-27,56,146.410265
-233.0,183,147.227421
-141,211,148.155546
-566.0,528,150.566668
-28,103,151.021968
-32,112,151.505121
-21,72,151.815358
-64,92,152.222398
-48,119,152.737477
-43,85,153.109424
-18,51,153.330138
-318.0,313,154.735882
-43,95,155.151752
-390.0,267,156.337061
-954.0,1203,161.719832
-25,95,162.137438
-17.0,88,162.517361
-319,331,164.024104
-122,222,165.009857
-31,36,165.169243
-69.0,93,165.581911
-179.0,106,166.058281
-162,233,167.085553
-19,40,167.258607
-27.0,115,167.748485
-165.0,67,168.042696
-44,96,168.454731
-64,142,169.07164
-1471.0,622,171.77871
-279,412,173.603199
-20,32,173.74199
-21,43,173.927678
-211.0,201,174.834916
-322,350,176.417136
-19,27,176.536362
-160.0,241,199.199761
-33,194,199.974232
-39,100,200.381967
-19,56,200.617071
-81,82,200.964416
-18,110,201.416052
-20,217,202.302299
-33,293,203.52372
-87.0,248,204.563133
-24,36,204.717565
-17,82,205.059956
-98,372,206.628539
-37,215,207.544186
-42,62,207.816015
-24,51,208.033634
-23,60,208.290357
-68.0,218,209.212249
-19,170,209.925411
-20.0,83,210.27464
-62,95,210.688055
-130,254,211.793308
-19,69,212.088677
-28,51,212.310038
-61,218,213.24104
-1317.0,218,214.197856
-23,171,214.923122
-208,242,215.996386
-60,61,216.278115
-52,93,216.684192
-72,288,217.906291
-36,53,218.134644
-2009.0,1807,226.508718
-25,214,227.425953
-21,66,227.707867
-24,32,227.847259
-104.0,232,228.844345
-180,189,229.698445
-58,67,229.996137
-73,75,230.328954
-29,33,230.473639
-127,136,231.077042
-30,37,231.239573
-196,215,232.193963
-31,38,232.361825
-67,147,232.9964
-38,88,233.373842
-295,442,235.294951
-172.0,150,235.95481
-308,332,237.422333
-146,241,238.473712
-41,154,239.123522
-45,138,239.707563
-17,47,239.906001
-19,42,240.084073
-38,81,240.43039
-22,78,240.758603
-21,43,240.94152
-51,118,241.44213
-18,46,241.63612
-121,145,242.26351
-117,140,264.439247
-67,107,264.875477
-46,111,265.323414
-39,74,265.621142
-79,144,266.206018
-34,35,266.352976
-28,133,266.89185
-61.0,103,267.320068
-361,377,268.989108
-29,68,269.276556
-772,796,272.849385
-28,44,273.043891
-20,57,273.288701
-83.0,81,273.643265
-17,32,273.780322
-23,56,274.01835
-70,73,274.340216
-28,47,274.542154
-16,18,274.620126
-31,42,274.803934
-33,40,274.97878
-30,59,275.232705
-27,54,275.466987
-81,151,276.118666
-20,85,276.479021
-40,108,276.941226
-86,118,277.465444
-23,186,278.244919
-43,141,278.837699
-650.0,431,280.728212
-38,162,281.411469
-32,246,282.454527
-17,19,282.536518
-26,138,283.117616
-20,121,283.630128
-22,123,284.145148
-62.0,108,284.608313
-27,62,284.869794
-437.0,522,287.164308
-15,25,287.272587
-23,148,287.901168
-21,34,288.046564
-325.0,111,288.545662
-17,25,288.652765
-47,103,289.090781
-118,119,289.611643
-41,82,289.959732
-27,30,290.097968
-21,63,290.365204
-329.0,168,291.101339
-38,220,292.030046
-1459.0,341,293.532158
-21,140,294.115459
-56,89,294.504445
-18,30,294.633707
-21,180,295.385216
-124,126,295.936282
-250,252,297.045746
-17,81,297.388944
-144.0,123,297.926978
-55,216,298.844438
-23,87,299.210213
-501.0,319,300.633818
-69.0,76,300.968772
-21,52,301.191232
-18,162,301.87125
-37,51,302.089644
-19,75,302.406478
-19,90,302.786996
-20,23,302.886187
-618,627,305.675556
-26,90,306.063473
-38.0,36,306.221825
-56,68,306.518741
-20,122,307.035023
-191,209,329.519081
-22,88,329.868876
-70,76,330.184493
-61,105,330.609646
-20,27,330.719596
-52,142,331.296904
-19,180,332.024162
-433.0,69,332.310717
-25,40,332.479963
-80,110,332.944095
-19,143,333.545365
-34,49,333.752396
-18,108,334.197748
-32,178,334.935968
-40,149,335.562259
-457,515,337.829033
-81,169,338.55244
-64.0,76,338.88303
-215,262,340.019444
-66,70,340.325922
-32,82,340.677605
-25,84,341.034975
-41,43,341.226663
-124.0,149,341.90317
-247.0,487,343.995466
-19,50,344.206665
-39,104,344.645272
-74,329,346.035689
-143,202,346.901983
-98,189,347.711621
-69.0,71,348.027809
-91,93,348.435928
-33.0,89,348.808774
-77,139,349.402947
-28,58,349.648227
-38,112,350.120963
-20,36,350.282684
-33,60,350.53981
-110,192,351.367455
-62,66,351.655042
-22,145,352.263359
-23,68,352.552073
-2195.0,1430,359.040144
-21,45,359.248396
-83,121,359.788602
-142,244,360.851489
-30,195,361.674069
-48,325,363.034028
-61,136,363.623178
-106,177,364.38389
-18,59,364.631645
-126,322,365.993224
-67,166,366.69351
-36,82,367.041063
-25,130,367.586504
-67,165,368.297346
-33,110,368.760443
-34,112,369.231759
-41,72,369.541148
-33,72,369.84673
-123,263,370.975883
-71,111,371.45629
-21,33,371.599554
-21,38,371.761857
-88,96,393.754878
-61,89,394.118756
-47,63,394.375598
-21,62,394.621825
-27,97,395.008532
-25,59,395.244335
-26,56,395.471679
-34,127,395.991556
-131.0,210,396.858636
-119,133,397.42343
-148,257,398.518131
-60.0,176,399.25484
-643.0,223,400.235395
-54,94,400.638779
-85,128,401.191478
-67,73,401.512739
-59,60,401.778762
-56,199,402.639142
-63,86,403.016599
-31,122,403.539221
-32.0,313,404.849422
-178,388,406.512764
-17,383,408.105603
-72,75,408.434134
-3230.0,507,410.681886
-123.0,183,411.471957
-23,38,411.635202
-33,91,412.021325
-95,160,412.70818
-24,93,413.098802
-27,28,413.221367
-19,75,413.537536
-105,107,414.010438
-33,63,414.277692
-26,52,414.500629
-37,90,414.881418
-48,86,415.261568
-17,118,415.757999
-20,33,415.89871
-394.0,272,417.089072
-1390.0,483,419.240755
-114,205,420.152102
-149,311,421.487821
-1563.0,325,422.913658
-622,734,426.155582
-48,81,426.507797
-1317.0,298,427.784021
-70,182,428.562361
-110.0,360,430.085168
-109.0,206,430.968043
-127,175,431.725661
-229.0,188,432.55467
-20,75,432.875278
-17,184,433.647632
-123,155,434.318802
-18,21,434.409629
-23,59,434.658386
-136,145,435.297694
-40,43,435.484685
-40,80,435.826015
-314,347,458.900315
-23,132,459.423732
-196,351,460.890513
-17,19,460.970408
-66,102,461.398311
-36,280,462.565493
-270.0,230,463.571664
-29,33,463.714031
-20,24,463.816981
-318,337,465.287151
-96,104,465.743317
-45,55,465.983468
-30,49,466.195777
-16,79,466.529385
-19,30,466.659824
-70,116,467.168711
-32,147,467.787895
-29,159,468.44983
-42,115,468.932574
-26,45,469.122893
-51,114,469.602771
-18,39,469.768933
-48,126,470.303605
-16,18,470.381768
-42,79,470.720629
-148.0,136,471.319358
-843.0,834,475.050874
-321.0,205,475.958344
-122,222,476.915302
-50,90,477.307083
-27,40,477.47954
-54,187,478.270496
-18,116,478.754916
-45,74,479.072933
-121,148,479.721184
-31,170,480.436561
-19,124,480.958992
-66,384,482.567489
-42,260,483.658859
-55,66,483.956912
-38,91,484.344959
-201.0,280,485.557743
-25,146,486.172537
-27,30,486.303675
-90,149,486.943287
-510.0,250,488.044501
-137.0,100,488.499467
-152.0,393,490.169835
-109,129,490.734072
-18,28,490.85395
-1884.0,114,491.359128
-21,141,491.953942
-32,60,492.212347
-500.0,325,493.651096
-19,101,494.077464
-71,87,494.457952
-175.0,67,494.749937
-37,79,495.086018
-22,139,495.670427
-16,80,496.005453
-32,102,496.437531
-741,805,500.047879
-23,29,500.175637
-22,96,500.587707
-97,146,501.222283
-16,48,522.986806
-103,188,523.753489
-106,255,524.776242
-30,70,525.065225
-18,41,525.233308
-54.0,61,525.486267
-37,76,525.800856
-38,52,526.022938
-92,168,527.090856
-25,51,527.474805
-28,94,528.059624
-32,139,528.762533
-1268.0,188,529.593128
-34,429,531.391654
-26,43,531.575962
-215,302,532.904163
-32,34,533.055383
-67,84,533.424608
-28,48,533.631868
-247,281,534.87675
-21,102,535.306285
-45,57,535.555942
-145.0,211,536.450376
-33,90,536.841695
-1339.0,477,538.845705
-47,52,539.070552
-43,64,539.343457
-35,59,539.594573
-47,51,539.817081
-136,282,541.031916
-477.0,79,541.382282
-17,27,541.498364
-32,79,541.836365
-25,61,542.094151
-151,167,542.834589
-20,171,543.550413
-79,228,544.511282
-27,87,544.877497
-53,103,545.32366
-52,86,545.69068
-123,175,546.452879
-60,127,547.003495
-46,156,547.666033
-46,66,547.953326
-93,190,548.761627
-56,241,549.789016
-101,146,550.422915
-22,29,550.547708
-17,69,550.840529
-27,70,551.137769
-75,107,551.604452
-590.0,236,552.628263
-83,332,554.045245
-109,242,555.071059
-17,47,555.268703
-23,83,555.616998
-17,18,555.695097
-236,308,557.041836
-24,28,557.163563
-18,53,557.389285
-150,237,558.421268
-18,74,558.732869
-18,19,558.815131
-44.0,118,559.317018
-35,109,559.77646
-40,66,560.06211
-101,315,561.388537
-149.0,124,561.925432
-21,150,562.567465
-34,41,562.744598
-106,266,563.874821
-44,56,564.120211
-17,337,565.514427
-28,41,565.68908
-1845.0,375,588.858395
-35,47,589.049806
-19,299,590.233733
-159,280,591.408039
-27,79,591.734282
-174,322,593.113742
-2001.0,867,596.968467
-35,37,597.131818
-176,193,597.992415
-38,159,598.67086
-28,90,599.055976
-139,150,599.732535
-47,87,600.107372
-32,104,600.549506
-41,144,601.17126
-41.0,22,601.267028
