#{"t_start": 1693081991.9941504, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-1422.0,37,2.317332
-846.0,52,2.390118
-19.0,13,2.408392
-609,16,2.430811
-312,16,2.453274
-712,24,2.486874
-623.0,25,2.52223
-533.0,27,2.560099
-121.0,25,2.594465
-215.0,17,2.619263
-2733.0,142,2.820478
-506,14,2.839991
-1753.0,73,2.945087
-18.0,24,2.985683
-527.0,35,3.051944
-1243.0,45,3.140872
-12,13,3.165843
-2500.0,109,3.403735
-2073.0,83,3.53743
-1364.0,62,3.634284
-233,58,3.716439
-1734.0,98,3.880592
-1022.0,37,3.939611
-1530.0,43,4.003165
-949.0,54,4.08271
-1364.0,63,4.174212
-10.0,10,4.188748
-228.0,25,4.224635
-646.0,44,4.28831
-823.0,27,4.327474
-14,31,4.368367
-19.0,16,4.390596
-2278.0,91,4.516316
-543.0,38,4.56848
-4340.0,170,4.803442
-14.0,11,4.818427
-13.0,7,4.827928
-2102.0,108,4.976758
-634.0,44,5.03575
-548.0,47,5.100433
-623.0,17,5.124226
-2232.0,50,5.196072
-3639.0,139,5.396503
-21.0,9,5.408517
-1624.0,106,5.553036
-1053.0,64,5.640018
-839.0,39,5.692858
-719.0,19,5.718632
-10,22,5.74717
-10.0,10,5.760586
-11,17,5.783283
-8.0,14,5.801514
-28,46,5.861894
-31.0,34,5.907133
-1025.0,36,5.955689
-625.0,33,6.000253
-1140.0,46,6.062552
-2264.0,88,6.183968
-432.0,37,6.233877
-324.0,23,6.265191
-916.0,20,6.293144
-420.0,32,6.335794
-861.0,50,6.403337
-946.0,53,6.475338
-1827.0,37,6.525976
-1577.0,69,6.628337
-1568.0,58,6.726135
-11,12,6.744353
-18.0,27,6.784153
-263.0,55,6.866489
-213.0,19,6.895467
-2313.0,109,7.062392
-20.0,24,7.098439
-10,14,7.119581
-13.0,13,7.139359
-7,23,7.1729
-11,16,7.196662
-1880.0,81,7.32312
-22.0,31,7.368995
-891.0,79,7.490809
-627,42,7.55548
-558.0,61,7.648981
-232.0,26,7.688726
-846.0,49,7.765227
-1036.0,28,7.810012
-676.0,49,7.886753
-451.0,42,7.952433
-1355.0,65,8.054685
-1049.0,59,8.147673
-26.0,32,8.197237
-930.0,23,8.254317
-818,28,8.299681
-923.0,32,8.350604
-3811.0,151,8.591219
-969.0,69,8.702388
-435.0,43,8.769733
-815,26,8.812644
-1415,51,8.892828
-529,40,8.956545
-428.0,32,9.006871
-1464.0,52,9.092049
-11,20,9.123741
-21.0,13,9.14453
-2061.0,66,9.25208
-252.0,44,9.324499
-1754.0,73,9.443673
-126.0,20,9.476196
-1556.0,63,9.578861
-412,21,9.612803
-311,15,9.63732
-857.0,48,9.715198
-915,28,9.761009
-10.0,13,9.781792
-9.0,10,9.798155
-235.0,35,9.862914
-21,29,9.910335
-1641.0,50,9.993996
-2041.0,144,10.232633
-41.0,48,10.311325
-1226.0,36,10.371891
-971.0,60,10.472554
-315.0,26,10.514711
-1836.0,52,10.602082
-338.0,36,10.662148
-625.0,22,10.69881
-1125.0,76,10.825791
-229.0,21,10.860314
-228.0,32,10.914439
-517.0,34,10.969899
-225.0,24,11.009878
-521.0,23,11.048582
-920.0,38,11.11119
-1079.0,84,11.250841
-1799.0,116,11.44528
-578.0,89,11.617471
-11,17,11.646808
-418,24,11.689352
-983.0,72,11.81718
-967.0,56,11.916233
-241.0,44,11.993003
-18,31,12.046141
-213,16,12.074552
-930.0,35,12.13729
-1660.0,69,12.26065
-1259.0,60,12.368294
-24,37,12.431827
-1227.0,36,12.496753
-1965.0,76,12.634689
-2349.0,126,12.861987
-434.0,16,12.891223
-226.0,15,12.91833
-309.0,18,12.951574
-232.0,30,13.005157
-1046.0,43,13.082564
-831.0,46,13.1646
-16.0,18,13.197314
-1128.0,25,13.243945
-1682.0,87,13.424324
-515.0,13,13.44809
-1009.0,97,13.625483
-21.0,10,13.643784
-972.0,94,13.812274
-615,24,13.855941
-249.0,49,13.944255
-1271.0,52,14.038262
-8,13,14.061427
-236.0,28,14.112474
